agno, mes, dia, valor
1970,09,24,1064.00000
1970,09,25,887.00000
1970,09,26,712.00000
1970,09,27,502.00000
1970,09,28,925.00000
1970,09,29,951.00000
1970,09,30,946.00000
1970,10,01,972.00000
1970,10,02,999.00000
1970,10,03,1054.00000
1970,10,04,1087.00000
1970,10,05,1098.00000
1970,10,06,1050.00000
1970,10,07,1028.00000
1970,10,08,1011.00000
1970,10,09,1018.00000
1970,10,10,981.00000
1970,10,11,968.00000
1970,10,12,866.00000
1970,10,13,919.00000
1970,10,14,876.00000
1970,10,15,866.00000
1970,10,16,894.00000
1970,10,17,937.00000
1970,10,18,977.00000
1970,10,19,976.00000
1970,10,20,942.00000
1970,10,21,928.00000
1970,10,22,962.00000
1970,10,23,1047.00000
1970,10,24,1077.00000
1970,10,25,1106.00000
1970,10,26,1084.00000
1970,10,27,1084.00000
1970,10,28,1041.00000
1970,10,29,1041.00000
1970,10,30,1028.00000
1970,10,31,1022.00000
1970,11,01,1017.00000
1970,11,02,972.00000
1970,11,03,912.00000
1970,11,04,871.00000
1970,11,05,869.00000
1970,11,06,887.00000
1970,11,07,920.00000
1970,11,08,918.00000
1970,11,09,979.00000
1970,11,10,1083.00000
1970,11,11,996.00000
1970,11,12,1016.00000
1970,11,13,951.00000
1970,11,14,861.00000
1970,11,15,859.00000
1970,11,16,861.00000
1970,11,17,876.00000
1970,11,18,832.00000
1970,11,19,777.00000
1970,11,20,742.00000
1970,11,21,755.00000
1970,11,22,754.00000
1970,11,23,747.00000
1970,11,24,762.00000
1970,11,25,775.00000
1970,11,26,772.00000
1970,11,27,787.00000
1970,11,28,764.00000
1970,11,29,714.00000
1970,11,30,703.00000
1970,12,01,663.00000
1970,12,02,683.00000
1970,12,03,702.00000
1970,12,04,732.00000
1970,12,05,743.00000
1970,12,06,723.00000
1970,12,07,677.00000
1970,12,08,679.00000
1970,12,09,721.00000
1970,12,10,717.00000
1970,12,11,834.00000
1970,12,12,875.00000
1970,12,13,950.00000
1970,12,14,820.00000
1970,12,15,749.00000
1970,12,16,755.00000
1970,12,17,774.00000
1970,12,18,790.00000
1970,12,19,785.00000
1970,12,20,737.00000
1970,12,21,699.00000
1970,12,22,665.00000
1970,12,23,650.00000
1970,12,24,645.00000
1970,12,25,692.00000
1970,12,26,882.00000
1970,12,27,1257.00000
1970,12,28,1028.00000
1970,12,29,869.00000
1970,12,30,778.00000
1970,12,31,797.00000
1971,01,01,724.00000
1971,01,02,673.00000
1971,01,03,639.00000
1971,01,04,605.00000
1971,01,05,579.00000
1971,01,06,540.00000
1971,01,07,509.00000
1971,01,08,488.00000
1971,01,09,461.00000
1971,01,10,452.00000
1971,01,11,418.00000
1971,01,12,397.00000
1971,01,13,381.00000
1971,01,14,375.00000
1971,01,15,365.00000
1971,01,16,361.00000
1971,01,17,356.00000
1971,01,18,342.00000
1971,01,19,338.00000
1971,01,20,347.00000
1971,01,21,335.00000
1971,01,22,346.00000
1971,01,23,377.00000
1971,01,24,354.00000
1971,01,25,393.00000
1971,01,26,370.00000
1971,01,27,334.00000
1971,01,28,313.00000
1971,01,29,306.00000
1971,01,30,293.00000
1971,01,31,288.00000
1971,02,01,278.00000
1971,02,02,272.00000
1971,02,03,288.00000
1971,02,04,300.00000
1971,02,05,456.00000
1971,02,06,1000.00000
1971,02,07,793.00000
1971,02,08,618.00000
1971,02,09,579.00000
1971,02,10,522.00000
1971,02,11,471.00000
1971,02,12,437.00000
1971,02,13,410.00000
1971,02,14,420.00000
1971,02,15,398.00000
1971,02,16,368.00000
1971,02,17,355.00000
1971,02,18,339.00000
1971,02,19,337.00000
1971,02,20,330.00000
1971,02,21,321.00000
1971,02,22,306.00000
1971,02,23,287.00000
1971,02,24,276.00000
1971,02,25,279.00000
1971,02,26,269.00000
1971,02,27,260.00000
1971,02,28,248.00000
1971,03,01,243.00000
1971,03,02,232.00000
1971,03,03,234.00000
1971,03,04,245.00000
1971,03,05,250.00000
1971,03,06,243.00000
1971,03,07,235.00000
1971,03,08,227.00000
1971,03,09,214.00000
1971,03,10,203.00000
1971,03,11,212.00000
1971,03,12,213.00000
1971,03,13,214.00000
1971,03,14,205.00000
1971,03,15,204.00000
1971,03,16,201.00000
1971,03,17,197.00000
1971,03,18,202.00000
1971,03,19,202.00000
1971,03,20,208.00000
1971,03,21,205.00000
1971,03,22,197.00000
1971,03,23,193.00000
1971,03,24,189.00000
1971,03,25,192.00000
1971,03,26,189.00000
1971,03,27,187.00000
1971,03,28,190.00000
1971,03,29,196.00000
1971,03,30,227.00000
1971,03,31,240.00000
1971,04,01,225.00000
1971,04,02,209.00000
1971,04,03,216.00000
1971,04,04,216.00000
1971,04,05,204.00000
1971,04,06,198.00000
1971,04,07,193.00000
1971,04,08,197.00000
1971,04,09,202.00000
1971,04,10,205.00000
1971,04,11,201.00000
1971,04,12,197.00000
1971,04,13,192.00000
1971,04,14,198.00000
1971,04,15,202.00000
1971,04,16,214.00000
1971,04,17,258.00000
1971,04,18,267.00000
1971,04,19,264.00000
1971,04,20,284.00000
1971,04,21,291.00000
1971,04,22,325.00000
1971,04,23,309.00000
1971,04,24,289.00000
1971,04,25,273.00000
1971,04,26,265.00000
1971,04,27,253.00000
1971,04,28,263.00000
1971,04,29,278.00000
1971,04,30,288.00000
1971,05,01,282.00000
1971,05,02,277.00000
1971,05,03,266.00000
1971,05,04,256.00000
1971,05,05,258.00000
1971,05,06,265.00000
1971,05,07,266.00000
1971,05,08,270.00000
1971,05,09,268.00000
1971,05,10,273.00000
1971,05,11,286.00000
1971,05,12,279.00000
1971,05,13,272.00000
1971,05,14,279.00000
1971,05,15,280.00000
1971,05,16,298.00000
1971,05,17,363.00000
1971,05,18,714.00000
1971,05,19,1927.00000
1971,05,20,3766.00000
1971,05,21,3620.00000
1971,05,22,2516.00000
1971,05,23,3315.00000
1971,05,24,2696.00000
1971,05,25,2015.00000
1971,05,26,1599.00000
1971,05,27,1300.00000
1971,05,28,1120.00000
1971,05,29,1009.00000
1971,05,30,934.00000
1971,05,31,878.00000
1971,06,01,845.00000
1971,06,02,826.00000
1971,06,03,867.00000
1971,06,04,840.00000
1971,06,05,788.00000
1971,06,06,751.00000
1971,06,07,714.00000
1971,06,08,699.00000
1971,06,09,698.00000
1971,06,10,761.00000
1971,06,11,731.00000
1971,06,12,673.00000
1971,06,13,649.00000
1971,06,14,652.00000
1971,06,15,649.00000
1971,06,16,619.00000
1971,06,17,596.00000
1971,06,18,639.00000
1971,06,19,686.00000
1971,06,20,865.00000
1971,06,21,878.00000
1971,06,22,863.00000
1971,06,23,779.00000
1971,06,24,791.00000
1971,06,25,999.00000
1971,06,26,1255.00000
1971,06,27,1193.00000
1971,06,28,1642.00000
1971,06,29,2637.00000
1971,06,30,3239.00000
1971,07,01,2691.00000
1971,07,02,2027.00000
1971,07,03,2182.00000
1971,07,04,1983.00000
1971,07,05,1614.00000
1971,07,06,1451.00000
1971,07,07,1381.00000
1971,07,08,1266.00000
1971,07,09,1218.00000
1971,07,10,1758.00000
1971,07,11,1690.00000
1971,07,12,1523.00000
1971,07,13,1554.00000
1971,07,14,1498.00000
1971,07,15,1442.00000
1971,07,16,1495.00000
1971,07,17,1439.00000
1971,07,18,1342.00000
