=======================================================================================
CMIP6 SSP245 Ens Avg (1mem)
2m Temperature Anomaly (deg C) (1901-2000)
Values averaged across South America (56S-13N; 278E-327E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1851,-0.548,-0.511,-0.612,-0.770,-0.437,-0.358,-0.121,-0.026,-0.717,-0.675,-0.517,-0.534,-0.486,-999,-0.606,-0.168,-0.636,-999,-999,-999,-999,-0.332,-999,-0.444,-0.557,-0.631,-0.522,-0.306,-0.288,-0.473,-0.575,-999
1852,-0.468,-0.443,-0.535,-0.261,-0.594,-0.221,0.048,-1.277,-0.508,-0.580,-0.482,-0.548,-0.489,-0.478,-0.464,-0.483,-0.523,-0.487,-0.489,-0.496,-0.495,-0.511,-0.485,-0.485,-0.482,-0.413,-0.359,-0.256,-0.579,-0.788,-0.537,-0.499
1853,-0.657,-0.447,-0.344,-0.638,-0.598,-0.751,-0.835,-1.505,-0.464,-0.499,-0.195,-0.364,-0.608,-0.547,-0.526,-1.030,-0.386,-0.622,-0.645,-0.651,-0.491,-0.831,-0.523,-0.756,-0.482,-0.476,-0.662,-0.728,-0.935,-0.823,-0.353,-0.555
1854,-0.570,-0.215,-0.473,-0.186,-0.651,0.155,0.394,0.041,0.259,0.386,0.031,0.234,-0.050,-0.379,-0.437,0.197,0.225,-0.098,-0.117,-0.189,-0.359,0.039,-0.352,0.057,-0.419,-0.291,-0.227,-0.034,0.231,0.229,0.217,-0.369
1855,0.123,-0.001,0.010,0.087,-0.296,0.298,-0.054,-0.295,0.010,0.045,-0.145,-0.204,-0.035,0.123,-0.066,-0.017,-0.030,0.002,0.018,0.048,0.084,-0.067,0.130,-0.029,0.044,0.032,0.030,-0.017,-0.113,-0.080,-0.102,0.136
1856,-0.298,-0.395,-0.296,-0.501,-0.123,-0.425,-0.291,-0.103,-0.063,-0.261,-0.126,-0.176,-0.255,-0.295,-0.307,-0.273,-0.150,-0.256,-0.257,-0.230,-0.264,-0.201,-0.251,-0.253,-0.330,-0.398,-0.350,-0.280,-0.152,-0.142,-0.188,-0.209
1857,-0.112,-0.449,-0.278,-0.301,-0.367,-0.679,-0.251,-0.634,-0.889,-0.525,-0.546,-0.612,-0.470,-0.242,-0.315,-0.522,-0.653,-0.433,-0.397,-0.374,-0.224,-0.564,-0.238,-0.521,-0.280,-0.343,-0.449,-0.432,-0.591,-0.683,-0.561,-0.131
1858,-0.346,-0.589,-0.461,-0.443,-0.446,-0.472,-0.337,0.177,-0.150,0.195,0.140,-0.290,-0.252,-0.512,-0.450,-0.211,0.062,-0.278,-0.334,-0.393,-0.507,-0.246,-0.498,-0.211,-0.466,-0.498,-0.453,-0.418,-0.104,0.074,0.015,-0.494
1859,-0.167,-0.162,-0.232,-0.207,-0.402,-0.301,0.139,0.375,0.013,-0.030,-0.249,-0.567,-0.149,-0.202,-0.280,0.071,-0.088,-0.125,-0.092,-0.072,-0.138,-0.035,-0.098,-0.059,-0.187,-0.201,-0.304,-0.188,0.176,0.120,-0.282,-0.098
1860,-0.535,-0.721,-0.741,-0.427,-0.060,-0.421,-0.296,-0.401,-0.199,-0.394,-0.031,0.249,-0.331,-0.604,-0.409,-0.373,-0.208,-0.398,-0.416,-0.384,-0.558,-0.275,-0.462,-0.314,-0.666,-0.630,-0.302,-0.259,-0.299,-0.331,-0.059,-0.443
1861,-0.049,0.041,-0.030,-0.168,-0.553,0.129,-0.565,-0.227,-0.068,-0.248,-0.231,-0.488,-0.205,0.084,-0.250,-0.221,-0.182,-0.142,-0.125,-0.136,0.040,-0.256,-0.049,-0.243,-0.013,-0.052,-0.197,-0.329,-0.286,-0.181,-0.322,0.063
1862,-0.247,-0.502,-0.225,-0.417,-0.659,-0.657,-0.692,-0.593,-0.412,-0.649,-0.850,-0.405,-0.526,-0.408,-0.434,-0.647,-0.637,-0.532,-0.479,-0.444,-0.334,-0.603,-0.331,-0.583,-0.325,-0.381,-0.578,-0.669,-0.565,-0.551,-0.635,-0.315
1863,-0.460,-0.481,-0.578,-0.616,-0.800,-0.551,-0.420,-0.200,-0.989,-0.351,-0.279,-0.041,-0.480,-0.445,-0.664,-0.390,-0.540,-0.510,-0.557,-0.580,-0.550,-0.592,-0.572,-0.561,-0.506,-0.558,-0.655,-0.590,-0.537,-0.513,-0.224,-0.565
1864,-0.276,-0.265,-0.565,-0.353,-0.628,-0.226,-0.158,-0.416,-0.109,-0.665,0.183,-0.194,-0.306,-0.190,-0.515,-0.267,-0.197,-0.292,-0.330,-0.303,-0.281,-0.307,-0.299,-0.365,-0.369,-0.394,-0.402,-0.337,-0.228,-0.397,-0.225,-0.192
1865,-0.242,-0.275,-0.441,-0.456,-0.269,-0.101,-0.209,-0.692,-0.187,-0.199,-0.138,-0.130,-0.278,-0.233,-0.389,-0.334,-0.175,-0.283,-0.255,-0.293,-0.190,-0.291,-0.293,-0.302,-0.319,-0.391,-0.275,-0.193,-0.362,-0.359,-0.156,-0.077
1866,-0.115,-0.319,-0.502,-0.510,-0.739,-0.429,-0.469,-0.207,-0.497,-0.470,-0.279,-0.334,-0.406,-0.184,-0.584,-0.368,-0.415,-0.388,-0.375,-0.351,-0.237,-0.468,-0.268,-0.474,-0.312,-0.444,-0.559,-0.546,-0.391,-0.391,-0.361,-0.121
